preferred	ensembl	entrez
RN7SL560P	ENSG00000264438	ENSG00000264438
AL450992.2	ENSG00000234614	ENSG00000234614
RNU6ATAC24P	ENSG00000252620	ENSG00000252620
AC008392.1	ENSG00000268186	ENSG00000268186
PCOLCE	ENSG00000106333	5118
LOC101929536	ENSG00000261798	101929536
IGKV3D-7	ENSG00000228325	ENSG00000228325
RPL23AP42	ENSG00000234851	ENSG00000234851
AC106801.1	ENSG00000253519	ENSG00000253519
ENSG00000203615	ENSG00000203615	ENSG00000203615
KMT2D	ENSG00000167548	8085
CXorf40A	ENSG00000197620	91966
UBE2S	ENSG00000108106	27338
CLN3	ENSG00000188603	1201
PPP1R14D	ENSG00000166143	54866
MIR4484	ENSG00000265092	100616327
IDS	ENSG00000010404	3423
SLC44A2	ENSG00000129353	57153
CHRNA5	ENSG00000169684	1138
MAP3K4	ENSG00000085511	4216
C1orf21	ENSG00000116667	81563
PFN1P8	ENSG00000244371	ENSG00000244371
AC008915.2	ENSG00000260136	ENSG00000260136
RPS27	ENSG00000177954	ENSG00000177954
PIGT	ENSG00000124155	51604
AL109741.3	ENSG00000260940	ENSG00000260940
PLP2	ENSG00000102007	5355
ZNRF1	ENSG00000186187	84937
LOC105377348	ENSG00000246560	105377348
IGLV1-40	ENSG00000211653	ENSG00000211653
CXCR4	ENSG00000121966	7852
TATDN2P2	ENSG00000218226	ENSG00000218226
MDK	ENSG00000110492	4192
LMNA	ENSG00000160789	4000
OIP5	ENSG00000104147	11339
AC026333.3	ENSG00000256249	ENSG00000256249
SLC16A14	ENSG00000163053	151473
FAM30A	ENSG00000226777	9834
KMT2E-AS1	ENSG00000239569	ENSG00000239569
UIMC1	ENSG00000087206	51720
RPL13P12	ENSG00000215030	ENSG00000215030
IGHV3-7	ENSG00000211938	ENSG00000211938
IGKV4-1	ENSG00000211598	ENSG00000211598
ENSG00000253701	ENSG00000253701	ENSG00000253701
AL136304.1	ENSG00000272223	ENSG00000272223
ENSG00000145965	ENSG00000145965	ENSG00000145965
AC008805.2	ENSG00000267555	ENSG00000267555
AL137161.1	ENSG00000254537	ENSG00000254537
LINC00839	ENSG00000185904	84856
AL136968.2	ENSG00000217239	ENSG00000217239
AL513303.1	ENSG00000226005	ENSG00000226005
ZNF257	ENSG00000197134	113835
ENSG00000204752	ENSG00000204752	ENSG00000204752
AL606760.3	ENSG00000259818	ENSG00000259818
ENSG00000264256	ENSG00000264256	ENSG00000264256
ENSG00000268358	ENSG00000268358	ENSG00000268358
ARHGAP42	ENSG00000165895	143872
AC010491.1	ENSG00000261360	ENSG00000261360
AC132938.2	ENSG00000264812	ENSG00000264812
CACNA1F	ENSG00000102001	778
AL354872.2	ENSG00000271992	ENSG00000271992
MTRNR2L5	ENSG00000249860	100463289
SNORA59B	ENSG00000266079	677882
AC002558.2	ENSG00000261872	ENSG00000261872
AC083964.1	ENSG00000272293	ENSG00000272293
ENSG00000268891	ENSG00000268891	ENSG00000268891
AC092329.1	ENSG00000269107	ENSG00000269107
PEX11G	ENSG00000104883	92960
C1QTNF3-AMACR	ENSG00000273294	ENSG00000273294
AL157932.1	ENSG00000231530	ENSG00000231530
AL359555.1	ENSG00000206249	ENSG00000206249
LOC102724009	ENSG00000227495	102724009
AC106820.1	ENSG00000243445	ENSG00000243445
RPL17P33	ENSG00000243844	ENSG00000243844
AL031283.1	ENSG00000228140	ENSG00000228140
LINC00265-3P	ENSG00000233944	ENSG00000233944
RPL21P135	ENSG00000235482	ENSG00000235482
NOTCH3	ENSG00000074181	4854
AC021148.1	ENSG00000224097	ENSG00000224097
ENSG00000221167	ENSG00000221167	ENSG00000221167
TBKBP1	ENSG00000198933	9755
AC019077.1	ENSG00000214559	ENSG00000214559
SVIL	ENSG00000197321	6840
AC091180.5	ENSG00000262039	ENSG00000262039
ZFP82	ENSG00000181007	284406
TIMD4	ENSG00000145850	91937
ITIH1	ENSG00000055957	3697
ENSG00000243000	ENSG00000243000	ENSG00000243000
AC007923.1	ENSG00000263567	ENSG00000263567
AC098820.1	ENSG00000232485	ENSG00000232485
LINC01873	ENSG00000232164	729348
MIR1254-1	ENSG00000221184	100302273
AL135924.2	ENSG00000235523	ENSG00000235523
PCAT1	ENSG00000253438	100750225
AL451074.6	ENSG00000273365	ENSG00000273365
ENSG00000264856	ENSG00000264856	ENSG00000264856
AC083880.1	ENSG00000273391	ENSG00000273391
AC091965.4	ENSG00000272049	ENSG00000272049
AC026979.4	ENSG00000272375	ENSG00000272375
LOC107987478	ENSG00000100197	107987478
LOC107987479	ENSG00000100197	107987479
CYP2D6	ENSG00000100197	1565
CFD	ENSG00000197766	1675
ZNF815P	ENSG00000235944	ENSG00000235944
AC006063.1	ENSG00000255608	ENSG00000255608
AC079203.1	ENSG00000243094	ENSG00000243094
CD300A	ENSG00000167851	11314
AL157400.3	ENSG00000235100	ENSG00000235100
ENSG00000264904	ENSG00000264904	ENSG00000264904
HLA-T	ENSG00000231130	ENSG00000231130
ENSG00000268702	ENSG00000268702	ENSG00000268702
LHX4	ENSG00000121454	89884
AC108161.1	ENSG00000226439	ENSG00000226439
GALNT12	ENSG00000119514	79695
LRRC37A15P	ENSG00000230069	ENSG00000230069
BCRP7	ENSG00000215544	ENSG00000215544
HGD	ENSG00000113924	3081
AP3B2	ENSG00000103723	8120
AL662844.4	ENSG00000272501	ENSG00000272501
ZNF569	ENSG00000196437	148266
AC121320.1	ENSG00000266237	ENSG00000266237
AC139718.2	ENSG00000250855	ENSG00000250855
ZC3HAV1L	ENSG00000146858	92092
CACNA2D2	ENSG00000007402	9254
AC016831.6	ENSG00000271522	ENSG00000271522
AC005954.1	ENSG00000267138	ENSG00000267138
AC078785.1	ENSG00000240057	ENSG00000240057
AC084083.1	ENSG00000254431	ENSG00000254431
AC010973.2	ENSG00000244151	ENSG00000244151
AC010320.1	ENSG00000267927	ENSG00000267927
EHHADH	ENSG00000113790	1962
ENSG00000249214	ENSG00000249214	ENSG00000249214
AC008610.1	ENSG00000248367	ENSG00000248367
C3orf70	ENSG00000187068	ENSG00000187068
ENSG00000266683	ENSG00000266683	ENSG00000266683
SLCO3A1	ENSG00000176463	28232
C2orf15	ENSG00000273045	150590
PLEKHA4	ENSG00000105559	57664
AC020558.1	ENSG00000264666	ENSG00000264666
GTF2IP9	ENSG00000251451	ENSG00000251451
MIR1273F	ENSG00000264834	100616156
ACTG1P4	ENSG00000236085	ENSG00000236085
AP002748.4	ENSG00000256349	ENSG00000256349
TRAV8-5	ENSG00000256379	ENSG00000256379
AC121761.1	ENSG00000257497	ENSG00000257497
PHLDA3	ENSG00000174307	23612
ENSG00000215945	ENSG00000215945	ENSG00000215945
AC024560.3	ENSG00000273308	ENSG00000273308
SDHAF3	ENSG00000196636	57001
GLIS2-AS1	ENSG00000262686	101926896
C16orf74	ENSG00000154102	404550
PAICSP1	ENSG00000226055	ENSG00000226055
ENSG00000243637	ENSG00000243637	ENSG00000243637
PPFIBP1	ENSG00000110841	8496
ENSG00000266112	ENSG00000266112	ENSG00000266112
AC004063.1	ENSG00000250670	ENSG00000250670
AC107081.2	ENSG00000236498	ENSG00000236498
AL021707.8	ENSG00000273096	ENSG00000273096
SOX15	ENSG00000129194	6665
ENSG00000265736	ENSG00000265736	ENSG00000265736
CFAP221	ENSG00000163075	200373
POLE2	ENSG00000100479	5427
COL7A1	ENSG00000114270	1294
CCDC152	ENSG00000198865	100129792
ENSG00000265502	ENSG00000265502	ENSG00000265502
AL355802.1	ENSG00000219470	ENSG00000219470
LOC101929066	ENSG00000245281	101929066
FOSL2	ENSG00000075426	2355
AC211485.1	ENSG00000225005	ENSG00000225005
RPL17P36	ENSG00000236058	ENSG00000236058
TGFBR2	ENSG00000163513	7048
CHIT1	ENSG00000133063	1118
TSPY26P	ENSG00000235217	ENSG00000235217
LOC105370616	ENSG00000258792	105370616
RNU4-86P	ENSG00000222067	ENSG00000222067
PLXND1	ENSG00000004399	23129
LINC02263	ENSG00000228358	105377390
AC010240.2	ENSG00000235253	ENSG00000235253
LINC02021	ENSG00000249846	ENSG00000249846
LINC02453	ENSG00000245017	643770
AC083864.2	ENSG00000232930	ENSG00000232930
AC000089.1	ENSG00000235776	ENSG00000235776
ACCS	ENSG00000110455	84680
ENSG00000233631	ENSG00000233631	ENSG00000233631
ZNF32-AS2	ENSG00000230565	414208
LINC01970	ENSG00000265692	101929511
LINC02199	ENSG00000250198	ENSG00000250198
AC106882.1	ENSG00000248571	ENSG00000248571
TMEM145	ENSG00000167619	284339
AC011416.2	ENSG00000250956	ENSG00000250956
AC010319.4	ENSG00000269481	ENSG00000269481
LOC400464	ENSG00000259363	400464
ACTA1	ENSG00000143632	58
AC092301.1	ENSG00000269148	ENSG00000269148
SUMO2P12	ENSG00000218893	ENSG00000218893
ENSG00000271997	ENSG00000271997	ENSG00000271997
ARRB1	ENSG00000137486	408
MIR1184-3	ENSG00000221603	100422977
ADAT3	ENSG00000213638	113179
NDUFB2-AS1	ENSG00000240889	100134713
RPL7AP10	ENSG00000240522	ENSG00000240522
MT1X	ENSG00000187193	4501
AL117378.1	ENSG00000236673	ENSG00000236673
MET	ENSG00000105976	4233
ZBTB47	ENSG00000114853	92999
AC116158.1	ENSG00000259326	ENSG00000259326
ENSG00000261827	ENSG00000261827	ENSG00000261827
ENSG00000212998	ENSG00000212998	ENSG00000212998
LBX2	ENSG00000179528	85474
DNAJC6	ENSG00000116675	9829
RNF144B	ENSG00000137393	255488
LOC101928303	ENSG00000236155	101928303
AC093642.1	ENSG00000226423	ENSG00000226423
GPR146	ENSG00000164849	115330
TF	ENSG00000091513	7018
AC093496.1	ENSG00000255021	ENSG00000255021
TMED7-TICAM2	ENSG00000251201	100302736
AL132989.1	ENSG00000258682	ENSG00000258682
KDM5C-IT1	ENSG00000235262	ENSG00000235262
ENSG00000234734	ENSG00000234734	ENSG00000234734
ZNF781	ENSG00000196381	163115
ENSG00000260929	ENSG00000260929	ENSG00000260929
AC103739.1	ENSG00000259212	ENSG00000259212
ENSG00000264277	ENSG00000264277	ENSG00000264277
AC138393.1	ENSG00000185495	ENSG00000185495
RPLP2P1	ENSG00000214374	ENSG00000214374
FTH1P4	ENSG00000242992	ENSG00000242992
AC023051.1	ENSG00000234428	ENSG00000234428
ENSG00000215749	ENSG00000215749	ENSG00000215749
PCAT6	ENSG00000228288	100506696
RHBDL1	ENSG00000103269	9028
RN7SL239P	ENSG00000242999	ENSG00000242999
BLOC1S5-TXNDC5	ENSG00000259040	ENSG00000259040
AC023355.1	ENSG00000259488	ENSG00000259488
AL355310.1	ENSG00000225113	ENSG00000225113
ERVK-28	ENSG00000267696	ENSG00000267696
RPL17P50	ENSG00000213700	ENSG00000213700
ENSG00000268788	ENSG00000268788	ENSG00000268788
NPIPB11	ENSG00000254206	728888
MLANA	ENSG00000120215	2315
TSPOAP1	ENSG00000005379	9256
FADS1	ENSG00000149485	3992
ST5	ENSG00000166444	6764
LINC01447	ENSG00000236078	101929086
AC115837.2	ENSG00000254080	ENSG00000254080
KCNIP2	ENSG00000120049	30819
SCARNA10	ENSG00000239002	692148
AOC2	ENSG00000131480	314
AC127522.1	ENSG00000259277	ENSG00000259277
HCAR1	ENSG00000196917	27198
BCL11A	ENSG00000119866	53335
AC127502.1	ENSG00000215302	ENSG00000215302
BTBD3	ENSG00000132640	22903
MTATP8P1	ENSG00000240409	ENSG00000240409
IGKV1-9	ENSG00000241755	ENSG00000241755
IGHV3-15	ENSG00000211943	ENSG00000211943
SPAG7	ENSG00000091640	9552
SAMD4A	ENSG00000020577	23034
ENSG00000267473	ENSG00000267473	ENSG00000267473
EFCAB6	ENSG00000186976	64800
AC069213.3	ENSG00000236844	ENSG00000236844
ENSG00000264166	ENSG00000264166	ENSG00000264166
AC010261.1	ENSG00000250882	ENSG00000250882
TSNAX	ENSG00000116918	7257
NELFA	ENSG00000185049	7469
MARCH6	ENSG00000145495	10299
SRM	ENSG00000116649	6723
ARF1	ENSG00000143761	375
ECE1	ENSG00000117298	1889
LINC01562	ENSG00000203356	105378716
UBXN1	ENSG00000162191	51035
CDK4	ENSG00000135446	1019
SSBP1	ENSG00000106028	6742
ACTR1B	ENSG00000115073	10120
PHYKPL	ENSG00000175309	85007
AC011005.1	ENSG00000230626	ENSG00000230626
MPPE1	ENSG00000154889	65258
CDK17	ENSG00000059758	5128
MBNL2	ENSG00000139793	10150
MAT2A	ENSG00000168906	4144
PCBP1-AS1	ENSG00000179818	400960
CDKL3	ENSG00000006837	51265
KDELR1	ENSG00000105438	10945
RBM10	ENSG00000182872	8241
NIPSNAP2	ENSG00000146729	2631
URB2	ENSG00000135763	9816
NDUFS8	ENSG00000110717	4728
AC006538.1	ENSG00000261342	ENSG00000261342
FAAP24	ENSG00000131944	91442
MTCH2	ENSG00000109919	23788
SUMF2	ENSG00000129103	25870
UBE2Z	ENSG00000159202	65264
TSSC2	ENSG00000223756	ENSG00000223756
GALNT1	ENSG00000141429	2589
COLGALT1	ENSG00000130309	79709
SECISBP2	ENSG00000187742	79048
RPS20P14	ENSG00000223803	ENSG00000223803
SZT2	ENSG00000198198	23334
RPS4XP22	ENSG00000239830	ENSG00000239830
HAUS6P1	ENSG00000227344	ENSG00000227344
IGLV1-44	ENSG00000211651	ENSG00000211651
GNPAT	ENSG00000116906	8443
RN7SL543P	ENSG00000265918	ENSG00000265918
ENSG00000221294	ENSG00000221294	ENSG00000221294
B3GAT2	ENSG00000112309	135152
AL080243.2	ENSG00000237214	ENSG00000237214
AC093297.1	ENSG00000248779	ENSG00000248779
FAM72D	ENSG00000215784	728833
ARHGEF15	ENSG00000198844	22899
ZBTB10	ENSG00000205189	65986
ENSG00000263803	ENSG00000263803	ENSG00000263803
UBE2FP3	ENSG00000233337	ENSG00000233337
KCNA2	ENSG00000177301	3737
DLG2	ENSG00000150672	1740
KIRREL3	ENSG00000149571	84623
SYNPO2L	ENSG00000166317	79933
ENSG00000203572	ENSG00000203572	ENSG00000203572
COL9A1	ENSG00000112280	1297
TH2LCRR	ENSG00000223442	101927761
KCCAT198	ENSG00000257642	105369954
MYLK4	ENSG00000145949	340156
ZNF542P	ENSG00000240225	147947
ENSG00000270107	ENSG00000270107	ENSG00000270107
AC104109.4	ENSG00000273345	ENSG00000273345
AC109347.2	ENSG00000272567	ENSG00000272567
AC092127.1	ENSG00000260417	ENSG00000260417
AC068413.1	ENSG00000253619	ENSG00000253619
C3	ENSG00000125730	718
LINC01691	ENSG00000224857	ENSG00000224857
AC007923.4	ENSG00000266877	ENSG00000266877
AC006947.1	ENSG00000229330	ENSG00000229330
AL139020.1	ENSG00000257275	ENSG00000257275
LINC00410	ENSG00000231674	144776
AC130352.1	ENSG00000270154	ENSG00000270154
LOC102724659	ENSG00000177553	102724659
RPS3AP24	ENSG00000217684	ENSG00000217684
ENSG00000224503	ENSG00000224503	ENSG00000224503
MTND1P10	ENSG00000229088	ENSG00000229088
TMSB4XP6	ENSG00000230043	ENSG00000230043
RCN1P1	ENSG00000215477	ENSG00000215477
ENSG00000178430	ENSG00000178430	ENSG00000178430
DTX2P1-UPK3BP1-PMS2P11	ENSG00000265479	441263
LINC00167	ENSG00000233220	ENSG00000233220
DUSP26	ENSG00000133878	78986
EXOC6B	ENSG00000144036	23233
AP001893.1	ENSG00000254694	ENSG00000254694
RPS14P8	ENSG00000239528	ENSG00000239528
AC145138.1	ENSG00000251634	ENSG00000251634
RPSAP46	ENSG00000213394	ENSG00000213394
AC004969.1	ENSG00000238358	ENSG00000238358
LOC729966	ENSG00000105650	729966
PDE4C	ENSG00000105650	5143
HDAC11	ENSG00000163517	79885
RPSAP61	ENSG00000214016	ENSG00000214016
GPX1P1	ENSG00000197582	ENSG00000197582
PLPP2	ENSG00000141934	8612
DEK	ENSG00000124795	7913
AC079148.1	ENSG00000260331	ENSG00000260331
ZNF485	ENSG00000198298	220992
REXO1L1P	ENSG00000205176	254958
